"tags","article_url","sender","timestamp","instance_id","subject","id","top_sentence_"
"['suspended' '2014' 'board' 'search' 'malaysian' 'mh370' 'plane' '239']","http://www.bbc.co.uk/news/world-asia-38647365#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20170120170615&ns_linkname=alert%20image-sa%22","BBC","2017-01-17T01:23:08-05:00","","Search for MH370 suspended","587db85fcd4d746aac00001d","Search for MH370 suspended Search for Malaysian plane MH370 that disappeared in 2014 with 239 on board is suspended."
"['uk' 'theresa may' 'may uk' 'minister' 'members' 'confirms' 'eu uk prime' 'market']","http://www.bbc.co.uk/news/live/uk-politics-38635035#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20170120171212&ns_linkname=alert%20image-sa%22","BBC","2017-01-17T07:26:31-05:00","","UK cannot stay in single market - May","587e0d84cd4d746aac000036","UK cannot stay in single market - May UK cannot remain members of single market after leaving EU UK Prime Minister Theresa May confirms."
"['office say' 'record' 'nasa' 'uk met' '2016' 'warmest year']","http://www.bbc.co.uk/news/science-environment-38652746#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20180120171542&ns_linkname=alert%20image-sa%22","BBC","2017-01-18T10:48:27-05:00","","2016 'warmest year on record'","587f8e53cd4d746aac000078","2016 'warmest year on record' 2016 was the warmest year on record Nasa and the UK Met Office say."
"['jammeh' 'strongman' 'adama barrow' 'troops' 'gambia' 'gambia senegalese' 'refuses' 'senegal']","http://www.bbc.co.uk/news/world-africa-38682184#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20190120171842&ns_linkname=alert%20image-sa%22","BBC","2017-01-19T13:49:18-05:00","","Senegal troops enter The Gambia","58810a46cd4d7409b4000023","Senegal troops enter The Gambia Senegalese troops enter The Gambia to back Adama Barrow as president as strongman Jammeh refuses to stand down."
"['mexico' 'us' 'chapo guzman' 'lord' 'el' 'joaquin' 'drug' 'guzman' 'states' 'foreign ministry says']","http://www.bbc.co.uk/news/world-latin-america-38686379#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20190120172248&ns_linkname=alert%20image-sa%22","BBC","2017-01-19T17:52:04-05:00","","Drug lord Guzman extradited to US","58814329cd4d7409b400002b","Drug lord Guzman extradited to US Drug lord Joaquin El Chapo Guzman has been extradited from Mexico to the United States foreign ministry says."
"['government' 'process' 'uk' 'vote' 'supreme court rules' 'brexit' 'parliament']","http://www.bbc.co.uk/news/live/uk-politics-38723261#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20240120170939&ns_linkname=alert%20image-sa%22","BBC","2017-01-24T04:52:55-05:00","","Government loses Brexit vote appeal","588723fbcd4d741ed8000003","Government loses Brexit vote appeal Parliament must have vote on whether UK government can start Brexit process Supreme Court rules."
"['2017' 'picture' 'land' '14' 'tops race' 'oscar' 'oscars' 'nominations']","http://www.bbc.co.uk/news/live/entertainment-arts-38725372#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20240120171336&ns_linkname=alert%20image-sa%22","BBC","2017-01-24T08:52:45-05:00","","La La Land leads Oscar nominations","58875c40cd4d741ed8000010","La La Land leads Oscar nominations La La Land tops race for 2017 Oscars with 14 nominations including best picture."
"['gold medal' 'team-mate' 'nesta carter' 'olympic gold medals' 'bolt' 'tests' 'substance' 'usain bolt' 'team-mate test' 'one' 'nine']","http://www.bbc.co.uk/sport/athletics/38744846#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20250120171429&ns_linkname=alert%20image-sa%22","BBC","2017-01-25T09:39:55-05:00","","Bolt loses gold medal after team-mate test","5888b8c3cd4d742c5f00001a","Bolt loses gold medal after team-mate test Usain Bolt loses one of his nine Olympic gold medals after team-mate Nesta Carter tests positive for a banned substance."
"['mexico' 'donald trump' 'border barrier president' 'trump' 'wall' 'southern us border' 'orders building' 'border barrier' 'issues executive order']","http://www.bbc.co.uk/news/world-us-canada-38740717#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20250120171853&ns_linkname=alert%20image-sa%22","BBC","2017-01-25T13:57:25-05:00","","Trump orders building of border barrier","5888f51ccd4d745609000003","Trump orders building of border barrier President Donald Trump issues executive order for wall to be built along southern US border with Mexico."
"['bid' 'greece' 'greek supreme court rules' soldiers' extradition 'snubs' 'turkey' july's 'turkish soldiers']","http://www.bbc.co.uk/news/world-europe-38754821#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20260120171326&ns_linkname=alert%20image-sa%22","BBC","2017-01-26T08:30:59-05:00","","Greece snubs Turkey soldiers' extradition","5889fa2ccd4d746435000006","Greece snubs Turkey soldiers' extradition Greek Supreme Court rules against extraditing Turkish soldiers who fled to Greece after last July's coup bid."
"['cancels trip' 'enrique pena nieto' 'donald trump' 'mexican president cancels' 'mexican president' 'summit' 'trump']","http://www.bbc.co.uk/news/world-us-canada-38760671#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20260120171657&ns_linkname=alert%20image-sa%22","BBC","2017-01-26T12:05:26-05:00","","Mexican president cancels Trump summit","588a2c5bcd4d74643500000a","Mexican president cancels Trump summit Mexican President Enrique Pena Nieto cancels trip to Washington for summit with Donald Trump."
"['australian' 'open' 'roger federer' 'rafael nadal roger federer' 'title' 'beats' 'slam' 'rafael nadal']","http://www.bbc.co.uk/sport/live/tennis/38348853#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20290120171218&ns_linkname=alert%20image-sa%22","BBC","2017-01-29T07:34:41-05:00","","Roger Federer beats Rafael Nadal","588de170cd4d746bb500000f","Roger Federer beats Rafael Nadal Roger Federer beats Rafael Nadal to win fifth Australian Open and his 18th Grand Slam title."
"['travel ban' 'trump' '16' 'travel bans' 'state attorneys blast' donald trump's 'travel ban attorneys' 'us states condemn president' 'executive order']","http://www.bbc.co.uk/news/world-us-canada-38790629#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20290120172005&ns_linkname=alert%20image-sa%22","BBC","2017-01-29T15:11:38-05:00","","State attorneys blast Trump travel ban","588e4c87cd4d742249000002","State attorneys blast Trump travel ban Attorneys general from 16 US states condemn President Donald Trump's executive order on travel bans."
"['canadian mosque' 'people killed' 'shots' 'quebec city']","http://www.bbc.co.uk/news/world-us-canada-38793071#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20300120170234&ns_linkname=alert%20image-sa%22","BBC","2017-01-29T21:36:50-05:00","","Shots fired at Canadian mosque","588ea6dbcd4d742249000009","Shots fired at Canadian mosque Shots fired at Canadian mosque in Quebec City with reports of at least two people killed."
"['power' 'votes' '50' '498' 'mps' 'article' 'brexit' 'bill' 'legislation' '114' 'uk pm theresa may' 'negotiations']","http://www.bbc.co.uk/news/uk-politics-38833883#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20010220171933&ns_linkname=alert%20image-sa%22","BBC","2017-02-01T14:40:19-05:00","","MPs back government's Article 50 bill","589239c1cd4d74393d00000a","MPs back government's Article 50 bill MPs back legislation to give UK PM Theresa May the power to begin Brexit negotiations by 498 votes to 114."
"['top us diplomat' 'secretary' 'oil chief' 'trump’s' 'tillerson' 'us senate' 'rex tillerson']","http://www.bbc.co.uk/news/world-us-canada-38835462#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20010220172002&ns_linkname=alert%20image-sa%22","BBC","2017-02-01T15:16:00-05:00","","Tillerson confirmed as top US diplomat","58924206cd4d74393d000014","Tillerson confirmed as top US diplomat Former oil chief Rex Tillerson confirmed by US Senate as President Trump’s secretary of state."
"['heavy criticism' 'advisory board' 'trump' 'uber' trump's 'uber ceo travis kalanick' 'boss quits' 'economic advisory board']","http://www.bbc.co.uk/news/technology-38850545#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20020220172209&ns_linkname=alert%20image-sa%22","BBC","2017-02-02T17:17:12-05:00","","Uber boss quits Trump advisory board","5893b007cd4d7466ce000015","Uber boss quits Trump advisory board Uber CEO Travis Kalanick says he is quitting President Trump's economic advisory board following heavy criticism."
"['soldier' 'louvre' 'attack' 'attacker' 'assailant' 'paris' 'shot' 'paris machete-wielding' 'guard' 'five' 'light wounds']","http://www.bbc.co.uk/news/world-europe-38853841#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20030220171004&ns_linkname=alert%20image-sa%22","BBC","2017-02-03T05:11:58-05:00","","Attacker shot outside Louvre in Paris","58945784cd4d742506000005","Attacker shot outside Louvre in Paris Machete-wielding assailant at Louvre in Paris shot five times by soldier on guard who sustained light wounds in the attack."
"['judge' 'restore travel ban president' 'trump' 'vows' 'donald trump' 'restore travel ban']","http://www.bbc.co.uk/news/world-us-canada-38868571#sa-ns_mchannel=email&ns_source=inxmail_newsletter&ns_campaign=news_bbc%20news_email%20sent%20040220171339&ns_linkname=alert%20image-sa%22","BBC","2017-02-04T08:46:45-05:00","","Trump vows to restore travel ban","5895db48cd4d744b50000023","Trump vows to restore travel ban President Donald Trump vows to restore travel ban after it was suspended by what he described as a so-called judge."
