"tags","article_url","sender","timestamp","instance_id","subject","id","top_sentence_"
"['nation again' 'inaugural address' 'this day' 'small group' 'power' 'new president' 'rulers' 'costs' 'government' 'transcript' 'trump' 'news alert' 'america' 'nation’s capital' 'rewards']","https://www.washingtonpost.com/news/post-politics/wp/2017/01/20/donald-trumps-inaugural-address-full-text-as-prepared-for-delivery/","The Washington Post","2017-01-20T12:39:49-05:00","","News Alert: President Trump pledged in his inaugural address that 'from this day forward it will be America first.' Read the transcript.","58824b67cd4d744297000030","“For too long a small group in our nation’s capital has reaped the rewards of government while the people have borne the costs” he said adding that “this day will be remembered as the day the people became rulers of this nation again.” News Alert."
"['disrupt' '100' 'd.c.' 'trail' 'inauguration day' 'demonstrators' 'protesters back' 'news alert' 'flash-bang grenades' 'donald trump’s' 'city blocks' 'damage' 'swearing-in ceremony' 'security checkpoints' post's 'chemical spray' 'video' 'protesters clash' 'protests']","https://www.washingtonpost.com/local/protesters-bring-shouts-skirmishes-and-shutdowns-to-inauguration-celebration/2017/01/20/00ea4c72-df11-11e6-acdf-14da832ae861_story.html","The Washington Post","2017-01-20T15:14:18-05:00","","News Alert: Nearly 100 arrested in D.C. as protesters clash with police on Inauguration Day","58826fa3cd4d74429700003c","Demonstrators left a trail of damage along some city blocks attempted to block security checkpoints and disrupt Donald Trump’s swearing-in ceremony."
"['military' 'news alert' 'alert retired' 'army' 'senior military officer' '1.9 million' 'defense secretary' 'billion' 'decades' '580' 'job' 'mattis' 'trump' 'reservists' 'active-duty service members' 'gen' 'oversee' 'budget' 'james mattis' 'defense' 'harry truman' '1950' 'george marshall' 'precedent']","https://www.washingtonpost.com/news/checkpoint/wp/2017/01/20/senate-confirms-retired-gen-james-mattis-as-defense-secretary-breaking-with-decades-of-precedent/","The Washington Post","2017-01-20T17:20:41-05:00","","News Alert: Retired Gen. James Mattis is confirmed as defense secretary breaking with decades of precedent","58828d3ccd4d74429700003f","The retired general will lead the Defense Department's 1.9 million active-duty service members and reservists and will oversee a budget of more than $580 billion as President Trump prepares to expand the military."
"['nation' 'gen' 'kelly' 'alert retired' 'border' 'build' 'electrical grid' 'marine' 'employees' 'trump' 'wall' 'news alert' '240000' 'entity' 'oversee' 'secretary' 'homeland security' 'nation’s' 'mexico' 'charge' 'construction' 'john f. kelly']","https://www.washingtonpost.com/world/national-security/john-f-kelly-confirmed-as-homeland-security-secretary/2017/01/20/439bdde6-de90-11e6-918c-99ede3c8cafa_story.html","The Washington Post","2017-01-20T18:18:37-05:00","","News Alert: Retired Gen. John F. Kelly confirmed as secretary of homeland security","58829ae3cd4d744297000046","The former Marine general will be in charge of securing the nation including overseeing the construction of a wall along the border with Mexico that President Trump has said he will build."
"['describe' 'care act’s' 'gut' 'aca' 'alert trump' 'states' 'regulatory burdens' 'government' 'specific federal rules' 'minimize' 'federal agencies' 'order' 'health insurance' 'americans' 'order directs' 'signs executive order' 'consumers insurers providers drug companies' 'room' 'individual mandate' 'lifted' 'news alert' 'penalty' health-care law's “economic]","https://www.washingtonpost.com/politics/trump-signs-executive-order-that-could-lift-affordable-care-acts-individual-mandate/2017/01/20/8c99e35e-df70-11e6-b2cf-b67fe3285cbc_story.html","The Washington Post","2017-01-20T20:55:28-05:00","","News Alert: Trump signs executive order that could effectively gut the Affordable Care Act’s individual mandate","5882bf9bcd4d744297000053","While the order does not describe specific federal rules to be softened or lifted it appears to give room for the government to stop enforcing the penalty on people who fail to carry the health insurance that the ACA requires of most Americans."
"['organizers' 'such marches' 'demonstration' 'conduct' 'alert turnout' 'one' 'thousands' 'world' 'city officials' 'formal march' 'news alert' 'rejoinder' 'decision' 'inaugural gathering' 'd.c.' 'women’s march' 'day earlier' 'mount' 'trump' 'crowd' 'house' 'rally' 'hundreds' 'recent years']","https://www.washingtonpost.com/local/womens-march-on-washington-a-sea-of-pink-hatted-protesters-vow-to-resist-donald-trump/2017/01/21/ae4def62-dfdf-11e6-acdf-14da832ae861_story.html","The Washington Post","2017-01-21T14:04:46-05:00","","News Alert: Turnout for the Women’s March on Washington too large to conduct a formal march to the White House organizers say","5883b0ebcd4d74345b000005","Hundreds of thousands of people poured into Washington for the march a larger-than-expected crowd determined to mount a roaring rejoinder to the inaugural gathering for President Trump one day earlier."
"['personal injury' 'tech' 'technology news' '7' 'property damage' 'certain cases' 'separate battery issues' 'alert samsung' 'original faulty phones' 'recall woes' 'new phones' 'initial round' 'owners' 'battery manufacturer' 'devices' 'irregular battery sizes' 'korean' 'round' 'issues' 'news alert' 'company']","https://www.washingtonpost.com/news/the-switch/wp/2017/01/22/samsung-cites-two-separate-battery-issues-for-its-note-7-recall-woes/","The Washington Post","2017-01-22T20:47:34-05:00","","Technology News Alert: Samsung cites two separate battery issues for its Note 7 recall woes","588560c8cd4d74345b000019","The South Korean tech giant disclosed in a report that irregular battery sizes caused the initial round of fires which were sometimes explosive and in certain cases led to property damage and personal injury for its owners."
"['however' 'marco rubio' 'secretary' tillerson's 'news alert' 'statement' 'committee vote' 'despite' 'critical posts' 'approval' 'senate' 'rex tillerson’s' 'deference' 'warned' 'exxonmobil' 'support' 'rubio' 'appointments' 'holdout' 'department' 'facebook rubio' 'chief’s nomination' 'trump’s' 'reservations' 'tillerson' 'nomination' 'approved' 'r-fla' 'panel' 'relations']","https://www.washingtonpost.com/powerpost/rubio-announces-support-for-trump-secretary-of-state-nominee-tillerson/2017/01/23/e232baf4-e16c-11e6-ba11-63c4b4fb5a63_story.html","The Washington Post","2017-01-23T10:40:30-05:00","","Politics News Alert: Sen. Marco Rubio will support Tillerson's nomination as secretary of state","5886240bcd4d747787000002","In a statement posted to Facebook Rubio said that “despite my reservations” he will back the former ExxonMobil chief’s nomination both in the Senate Foreign Relations Committee vote on Monday and before the full Senate."
"['tough talk' 'executive order' 'move' 'business executives' 'role' 'participation' 'alert trump' 'news alert' '—' 'partners' 'signal' 'industry' 'cancels agreement' 'symbolic —' 'administration' 'transpacific partnership' 'asia' 'u.s.' 'new scrutiny' 'global economy' 'white house' 'campaign' 'action subjects' 'donald trump’s']","https://www.washingtonpost.com/news/wonk/wp/2017/01/23/president-trump-signs-order-to-withdraw-from-transpacific-partnership/","The Washington Post","2017-01-23T12:07:26-05:00","","News Alert: Trump cancels agreement for sweeping trade deal with Asia recasting U.S. role in global economy","5886386acd4d74778700000a","The move was largely symbolic — the deal was unlikely to make it through Congress — but served to signal that Donald Trump’s tough talk on trade during the campaign will carry over to his administration."
"['excludes' 'news alert' 'u.s.' trump's 'trump' 'raises' 'presidential campaign' 'federal workers' 'military' 'halts' 'alert donald trump' 'part']","https://www.washingtonpost.com/news/powerpost/wp/2017/01/23/trump-freezes-federal-hiring/","The Washington Post","2017-01-23T12:16:59-05:00","","News Alert: Donald Trump halts hiring of federal workers and freezes pay raises","58863a94cd4d747787000010","Trump said the freeze excludes the U.S. military."
