"instance_id","article_url","timestamp","subject","id","top_sentence","sender","tags_"
"","https://www.washingtonpost.com/graphics/world/occupied/palestinian-cancer-patients-best-hope-as-the-israeli-occupation-turns-50/","2017-05-28T10:45:28-04:00","Special Report: ‘How can Mother die without seeing me first?’: The lonely journey of a Palestinian cancer patient","592ae298cd4d743754000042","Israel’s military occupation of the West Bank and Gaza began five decades ago when Israel defeated three Arab armies. ","The Washington Post","['jerusalem' 'darkness' 'hospital' 'taxi' 'decades ago' '70' 'mother' 'separation barrier' 'cone' 'palestinian' 'access' 'gaza' 'hundred' 'armies' 'israel' 'doctors' israel's 'arab' 'hospital stay' 'kinds' 'children' 'israeli' 'west bank home' 'maweya abu salah' 'kidney cancer' 'democracy dies' 'palestinians' 'five' 'cancer patient' 'medical care' 'journey' 'millions' 'travel' 'israel’s' 'concrete walls checkpoints' 'bank' 'side' 'four' 'car bus' 'three' 'needs' '51' 'military occupation' 'condition worsened' 'miles' 'saleh']"
"","https://www.washingtonpost.com/news/post-politics/wp/2017/05/28/homeland-security-chief-defends-kushners-alleged-back-channel-to-the-russians-its-a-good-thing/","2017-05-28T10:51:44-04:00","Politics Alert: Homeland security chief defends Kushner’s alleged ‘back channel’ to Russians calling it ‘a good thing’","592ae40fcd4d743754000043","“Any way that you can communicate with people particularly organizations that are not particularly friendly to us is a good thing.” Kelly made the comments on “This Week with George Stephanopoulos” and he reiterated them in two other appearances on Sunday morning news broadcasts. ","The Washington Post","['russian government' 'george stephanopoulos' 'homeland' 'morning news broadcasts' 'acceptable' 'security chief' 'it’s' 'comments' 'any way' 'a good thing' 'kelly' 'security secretary' 'request' 'organizations' 'appearances' 'presidential transition' 'lone administration' 'communicate' 'opinion' 'us' 'russian ambassador' 'kushner' 'jared kushner' 'good thing' 'russians' 'kushner’s' 'this week' 'secret communications channel' 'politics alert homeland' 'move' 'back channel' 'john kelly']"
"","https://www.washingtonpost.com/news/sports/wp/2017/05/29/frank-deford-legendary-sports-writer-and-commentator-dies-at-78/","2017-05-29T13:28:50-04:00","News Alert: Frank Deford legendary sports writer and commentator dies at 78","592c5a6fcd4d74217d000006","The longtime Sports Illustrated writer got his start at the magazine in 1962 but over his career there wasn't a medium that he didn't plunge into. ","The Washington Post","['writer' 'booming gruff voice' '1962' 'sports' 'weekly fixture' 'author' 'plunge into' 'medium' '37' 'democracy dies' 'darkness' 'alert frank deford' 'npr’s morning edition' 'mark' frank deford's 'key west florida' 'dozen books' 'recent retirement' 'wife' 'legendary sports writer' '78' 'sports world' 'career' 'magazine' 'deford' 'radio' 'longtime' 'commentator' 'tv' 'offering']"
"","https://www.washingtonpost.com/news/world/wp/2017/05/30/gen-manuel-noriega-the-former-panamanian-dictator-has-died-at-the-age-of-83/","2017-05-30T01:35:04-04:00","News Alert: Gen. Manuel Noriega the former Panamanian dictator has died at the age of 83. ","592d04a7cd4d74217d00000c","His opponents said Gen. Noriega was a brute who killed his opponents and hid millions of dollars in gains from drug and other corruption payments. ","The Washington Post","['democracy dies' 'opponents' 'brute' 'dictator' 'corruption payments' 'noriega' 'panamanian' 'hid millions' 'conspiracy convictions' 'u.s.' '83' 'decades' 'gains' 'invasion' 'dollars' 'onetime american ally' 'darkness' '1989' 'power' 'gen' 'age' 'drug' 'manuel noriega']"
"","https://www.washingtonpost.com/news/post-politics/wp/2017/05/30/mike-dubke-white-house-communications-director-resigns-in-what-could-be-start-of-a-series-of-changes-to-trumps-senior-staff/","2017-05-30T07:29:15-04:00","News Alert: Mike Dubke White House communications director resigns in what could be start of a series of changes to Trump's senior staff","592d5799cd4d74217d000019","Dubke's last day on the job has not been determined but it could be Tuesday said the official who required anonymity to discuss a personnel move that has not yet been formally announced. ","The Washington Post","[dubke's 'changes' 'series' 'democracy dies' trump's 'job' 'senior staff' 'foreign trip' 'anonymity' 'darkness' 'alert mike dubke' 'determined' 'official' 'months' 'dubke' 'three' 'senior administration' '18' 'personnel' 'white house communications director resigns' 'president accepted' 'help manage communications']"
"","https://www.washingtonpost.com/news/the-switch/wp/2017/05/30/uber-fires-star-engineer-anthony-levandowski-at-the-center-of-self-driving-car-battle/","2017-05-30T15:15:49-04:00","Technology Alert: Uber fires star engineer at the center of Silicon Valley giants’ battle over self-driving cars","592dc4f8cd4d74470a000006","Uber’s firing of Anthony Levandowski who was a senior engineer in Google’s self-driving car program is the latest twist in a lawsuit that has pit the two tech companies against each other as they fight over the future of transportation. ","The Washington Post","['uber’s' 'democracy dies' 'parent company' 'technology' 'transportation' 'silicon' 'tech companies' 'twist' 'levandowski' 'anthony levandowski' 'car program' google's 'valley giants’ battle' 'lawsuit' 'chief' 'program' 'fires star engineer' 'cars' 'center' 'senior engineer' 'pit' 'fight' 'darkness' 'alert uber' 'future' 'google’s']"
"","https://www.washingtonpost.com/world/national-security/trump-decides-to-keep-us-embassy-in-tel-aviv-at-least-for-now/2017/06/01/4eefe348-464d-11e7-bcde-624ad94170ab_story.html","2017-06-01T10:27:54-04:00","News Alert: Trump will not move U.S. Embassy in Israel to Jerusalem for now","5930248bcd4d74470a000039","Arab governments and many U.S. officials have long argued that a move could incite violence because of the symbolism of placing the U.S. diplomatic headquarters in a city claimed as a religious capital by both Jews and Arabs. ","The Washington Post","['embassy relocation' 'embassy' 'israel' 'tel aviv' 'governments' 'arabs' 'move' 'conservative supporters' 'symbolism' 'trump' 'campaign' 'waiver' 'arab' 'white house said' 'city' 'relocate' 'u.s.' '1995' 'jerusalem' 'diplomatic headquarters' 'dear' 'incite violence' 'religious capital' 'jews' 'defer action' 'officials' 'alert trump']"
"","https://www.washingtonpost.com/world/national-security/comey-is-asked-to-testify-next-thursday/2017/06/01/abd73400-46e6-11e7-bcde-624ad94170ab_story.html","2017-06-01T12:49:16-04:00","Politics Alert: Former FBI Director James Comey to testify publicly next Thursday","5930458fcd4d74470a00003f","The committee said Comey would testify in a public setting starting at 10 a.m. and a closed session would follow beginning at 1 p.m. Democracy Dies in Darkness. ","The Washington Post","['appearance' '1' '8' 'james comey' 'darkness' 'works' '10' 'fbi director' 'politics alert' 'senate' 'session' 'exact date' 'intelligence' 'comey’s' 'democracy dies' 'committee' 'beginning' 'comey' 'a.m.' 'public setting']"
"","https://www.washingtonpost.com/politics/trump-to-announce-us-will-exit-paris-climate-deal/2017/06/01/fbcb0196-46da-11e7-bcde-624ad94170ab_story.html","2017-06-01T14:52:42-04:00","News Alert: Trump to pull U.S. from historic Paris climate agreement breaking ranks with more than 190 countries","59306289cd4d74470a000042","The decision followed an intense struggle within the administration over the fate of the agreement with Ivanka Trump Secretary of State Rex Tillerson and business leaders urging the president to remain a party to the accord and conservatives such as Environmental Protection Agency Administrator Scott Pruitt calling for an exit. ","The Washington Post","['paris' 'party' 'scott pruitt' 'countries' apple's tim cook 'global effort' 'campaign' 'cancel' 'nations —' 'ivanka trump' 'targets' 'fate' 'alert trump' '190' 'environmental protection' 'climate group' 'exit' 'agency administrator' 'climate agreement' 'business leaders' 'united states' 'latitude' 'rex tillerson' 'trump' 'administration' 'accord' 'greenhouse gases' 'agreement' 'conservatives' 'ranks' accord's bottom-up approach '—' 'nicaragua' 'decision' 'u.s.' 'intense struggle' 'syria' 'climate agreement officials say' 'tesla’s elon musk' 'u.n.' 'secretary']"
"","https://www.washingtonpost.com/politics/courts_law/trump-turns-to-supreme-court-to-move-forward-on-travel-ban/2017/06/01/f2be9456-46d9-11e7-bcde-624ad94170ab_story.html","2017-06-01T23:30:10-04:00","News Alert: On travel ban Trump turns to Supreme Court in an attempt to move forward","5930dbcacd4d74470a000057","The Trump administration on Thursday asked the Supreme Court to let it move forward with the president’s plan to temporarily ban citizens from six mostly Muslim countries elevating a divisive legal battle involving national security and religious discrimination to the nation’s highest court. ","The Washington Post","['appeals' 'divisive' 'national security' 'legal battle' 'darkness' 'department' 'u.s.' 'muslim' 'place' 'circuit' 'ban citizens' 'court' 'administration' 'supreme court' 'six' 'decision' 'president’s plan' 'trump’s' 'justice lawyers' 'democracy dies' 'countries' 'nation’s' 'religious discrimination' 'travel ban' 'overturn' 'trump' 'attempt' 'ban']"
